name,full_page_wiki_url,image_url,image_filename,description
Abbadomon,https://wikimon.net/Abbadomon,https://wikimon.net/File:Abbadomon.jpg,Abbadomon.jpg,"a mysterious digimon that evolved enormously by absorbing the negative data that the network is overflowing with beyond its limit. its raison d'etre is to transcend good and evil, and return everything to nothingness. it bites into digimon and the digital world itself with the large mouth at its center and the mouths on its numerous tentacles, and after doing so, only empty, blank data is left behind. the birth of abbadomon is undoubtedly a crisis for the entire digital world, and it is conjectured that some digital worlds from other dimensions have been annihilated by it.its special moves are firing cursed beams from all of the eyes on its tentacles (gaze eraser), seizing the enemy with its tentacles and swallowing them whole with its central mouth (gala-lightness), and additionally, firing a white beam from that mouth (white liner); you will be erased the instant you suffer any of these techniques."
Abbadomon_Core,https://wikimon.net/Abbadomon_Core,https://wikimon.net/File:Abbadomon_core.jpg,Abbadomon_core.jpg,"the main body that exists within abbadomon, it is its true form. it seeks nothingness, prefers nothingness, and rejects everything except nothingness. after it turns everything into nothingness, it disappears itself, fulfilling its purpose.its special move is making the energy that it shoots from both of its hands stick to the enemy, corroding them, and gnawing away at their whole body (eclipse none). in addition, it has ""bingerard"", in which it transforms its right arm into a spear and pierces with it, and ""death charge"", in which it transforms its left arm into a gun barrel and fires energy shots. also, its ""gaze eraser"", cursed beams fired from all of the eyes on its cape, is even more cursed than when it is performed by abbadomon."
Achillesmon,https://wikimon.net/Achillesmon,https://wikimon.net/File:Achillesmon.jpg,Achillesmon.jpg,"an ultimate digimon that evolved by becoming adept in every kind of sport from all times and places, and mastering them. it possesses heart, technique, and physique, and is a true seeker that is always training, and never boasts about its tenacious power. its extreme physical ability has no weaknesses, and so it achieves victory without leaving any openings, not only in sports, but also in battle.the shields on its feet act as boosters, and are widely used for things such as its ""anemodarmenos"", where it confuses the enemy with afterimages caused by its high-speed movement, and ""asteroeidis"", a kicking technique that it dishes out using its swift speed. its special move is throwing its divine spear and ensuring that it pierces the enemy's digicore (lonkhe adistakto)."
Aegiochusmon,https://wikimon.net/Aegiochusmon,https://wikimon.net/File:Aegiochusmon.jpg,Aegiochusmon.jpg,"a god man digimon which synthesized the abilities of various species, using a humanoid body as a base. this synthesis of species is said to have resulted from the pursuit of the ultimate state, or omnipotence, dramatically altering its appearance to match its surroundings. this form is composed of data taken from the dragon-species, so the dragon-species data lying dormant within its body manifests on the surface of its body, centered upon the crystal in its chest, and establishes itself as armor. this armor is a powered suit that affects not only aegiochusmon's defensive power but also its physical strength, drastically increasing its offensive power. its special moves are commencing a rush attack with fists shrouded in the thunder produced from its horn (bolt break knockdown), and shaping thunder into a pile, then impaling the opponent from just overhead to drive them into the ground (lightning pile). it is said that if the pile of ""lightning pile"" pierces the opponent once, the piles cast afterward will always hit, regardless from where they're cast. also, it has a technique called ""charging strike"" which pierces the opponent's head with its horn using a high speed charge that capitalizes on its prided leg strength."
Aegiochusmon:_Blue,https://wikimon.net/Aegiochusmon:_Blue,https://wikimon.net/File:Aegiochusmon_blue2.jpg,Aegiochusmon_blue2.jpg,"a god man digimon which synthesized the abilities of various species, using a humanoid body as a base. this synthesis of species is said to have resulted from the pursuit of the ultimate state, or omnipotence, dramatically altering its appearance to match its surroundings. this form is composed of data taken from the cyborg-species, so the cyborg-species data lying dormant within its body focuses itself on its upper body, particularly its left side, centered upon the crystal in its chest. it is equipped with a release for the characteristic power of the cyborg-species, and a lock-on function which doesn't miss its designated target. its gigantic left arm, the ""mechanization powered arm"", has the ability to attach and detach, and is able to independently pursue and attack a locked opponent. its special moves are firing a beam from the fingertips of the ""mechanization powered arm"" (penetra-laser), and flying and slashing the opponent with the wings equipped to its back (wing cutter). furthermore, it can charge energy in the palm of the ""mechanization powered arm"" while it's still attached, then release it in a charge at the enemy (powered ignition)."
Aegiochusmon:_Dark,https://wikimon.net/Aegiochusmon:_Dark,https://wikimon.net/File:Aegiochusmon_dark.jpg,Aegiochusmon_dark.jpg,"a god man digimon which synthesized the abilities of various species, using a humanoid body as a base. this synthesis of species is said to have resulted from the pursuit of the ultimate state, or omnipotence, dramatically altering its appearance to match its surroundings.because this form is composed of data taken from the evil-species, the evil-species data that lay dormant in its body has spread over its entire body, centered upon the crystal in its chest. the malevolence of the evil-species has flooded its body and soul, and it regards all those it sees to be its prey and hunts down its enemies. the red electric shocks emanating from its body hide viruses, and it could be said that it is a special digimon that generates viruses in spite of being a digimon of the vaccine attribute. the technique where it transmits viruses into the wounds of the enemy it has dealt damage to, undermining it from the inside, is completely menacing. its special moves are ""triangler"", wherein it chops up the enemy with its three scythes, ""plasmadness"", wherein it gathers dark electric shocks on both of its hands and showers the foe with them, and ""death dinner"", wherein it mounts the opponent and instinctively preys upon it.  video games"
Aegiochusmon:_Green,https://wikimon.net/Aegiochusmon:_Green,https://wikimon.net/File:Aegiochusmon_green.jpg,Aegiochusmon_green.jpg,"a god man digimon which synthesized the abilities of various species, using a humanoid body as a base. this synthesis of species is said to have resulted from the pursuit of the ultimate state, or omnipotence, dramatically altering its appearance to match its surroundings. this form is composed of data taken from the plant-species, so the plant-species lying dormant within its body establishes itself as an upper body and arms, centered upon the crystal in its chest. because it is based on the plant-species, its weight is especially light compared to the other forms. it is able to fire sturdy thorns from the busters equipped to both of its arms, and perform tricky movements that hook its thorns in various places similar to rope action, or perform others that are used for offense and defense. its keen movements which capitalize on its equipment and agility can definitely be said to be this form's greatest distinction. its special moves are summoning thorns transformed into an evil spirit, which snaps at the opponent (bramble bite), and shooting numerous thorns from its entire body, tearing the surrounding opponents to pieces over a wide range (plant zone cradle). also, as a standard move, it has a technique called ""charging strike"" which pierces the opponent's head with its horn using a high speed charge that capitalizes on its legs."
Aegiochusmon:_Holy,https://wikimon.net/Aegiochusmon:_Holy,https://wikimon.net/File:Aegiochusmon_holly.jpg,Aegiochusmon_holly.jpg,"a god man digimon which synthesized the abilities of various species, using a humanoid body as a base. this synthesis of species is said to have resulted from the pursuit of the ultimate state, or omnipotence, dramatically altering its appearance to match its surroundings. this form is composed of data taken from the holy-species, so the holy-species data lying dormant within it envelops its entire body, centered upon the crystal in its chest, resulting in a clear heart as serene as a still lake. through the shields equipped on its arms, it is able to freely transform the powerful vaccines that overflow from its body into weapons such as daggers, or even defensive walls that prevent any kinds of viruses or data from passing through.its special moves are striking the enemy by causing countless daggers to rain down upon them from above (lightning shower), and combining its daggers with lightning to create a whip-like trail which it uses to slice enemies apart (thunder slash). not only that, by expanding its impregnable defensive walls (circlet defense), it is able to counter the opponent's attacks by deflecting them, while adding electric sparks to the deflected attacks."
Aegiomon,https://wikimon.net/Aegiomon,https://wikimon.net/File:Aegiomon2.jpg,Aegiomon2.jpg,"a god man digimon that has an appearance fusing the lower body of a goat with the upper body of a human. as a member of the same musical troupe as sirenmon, it is usually playing the pipes called ""syrinx"" hung at its waist and enjoying the music. although it has a peace-loving personality and doesn't really like to fight, the power it conceals within is unquantified, and when aegiomon fights to protect something, it exhibits unique talent for combat. it is said that by playing the ""attract echo"", which attracts the attention of those who hear it, on the syrinx it possesses, aegiomon snatches away the sense of self of those who continue to listen to its sound, and blinds them to everything but its figure. with this, it can produce an opportunity for other digimon to flee, or a chance for them to pursue. its special moves are hurling a sharp, backwards kick with its prided goat legs (iron trust), and beating the opponent while releasing the electricity circulating within its body from a portion of its arms, numbing the opponent's sensitivity and dulling their movements (stun beat blow)."
Aegisdramon,https://wikimon.net/Aegisdramon,https://wikimon.net/File:Ageisdramon.jpg,Ageisdramon.jpg,"a cyborg digimon born from the fusion of a plesiomon with seadramon-species data. it is said that its shining armor, made of gold digizoid, will purify all evil. it is a member of the crack team, and is mainly in charge of analyzing information on the enemy and reconnaissance. it is also known as the brains of the crack team due to the fact that the analyzed information is quickly sent to the crack team deployed to its surroundings, allowing them to keep the upper hand in combat situations. in addition, it has enough firepower to wipe out a whole battalion, even when acting alone. its special moves are firing gigantic shots of water from both its arms (power water), shooting down an enemy it has locked onto with missiles launched from its deck (blaze power), and crushing the opponent with a water current spewed out from its mouth (tera hydro breath). also, it has ""shine breaker"", wherein it simultaneously fires a large quantity of missiles enough to cover the sky, and charges upon the enemy at its maximum output.  current original"
